split_seed,n_runs,best_k,silhouette,entropy_norm,accuracy_mean,accuracy_std,C_mean,C_std,C_min,C_max,cluster_sizes
100,1000,1,,0.000000,0.852385,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
101,1000,1,,0.000000,0.856548,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
102,1000,1,,0.000000,0.855047,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
103,1000,1,,0.000000,0.858254,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
104,1000,1,,0.000000,0.852044,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
105,1000,1,,0.000000,0.848905,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
106,1000,1,,0.000000,0.850543,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
107,1000,1,,0.000000,0.847130,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
108,1000,1,,0.000000,0.850338,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
109,1000,1,,0.000000,0.851634,0.000000,1.000000,0.000000,1.000000,1.000000,[1000]
